"exercise_id","exercise_name","exercise_type","tactical_objective","physical_objective","pitch_length_m","pitch_width_m","pitch_area_m2","area_per_player_m2","players_total","players_per_team","neutral_players","duration_min","repetitions","rest_min","touches_limit","offside_rule","transition_rule","scoring_condition","sprint_profile","acceleration_profile","intensity_profile","recommended_md_day","description_short"
"EX016","Accel_Sprint_10m_x8","sprint_drill","none","acceleration_development","15","5","75","8","10","0","0","1","8","2","unlimited","no","none","none","low","very_high","high","MD3","Short acceleration sprints from standing. Peak acceleration stimulus. Low max speed exposure."
"EX017","Accel_Sprint_15m_x6","sprint_drill","none","acceleration_development","20","5","100","10","10","0","0","1","6","2","unlimited","no","none","none","moderate","very_high","high","MD3","15m acceleration sprint. Higher velocity reached than 10m. Mixed accel and speed stimulus."
"EX018","Transition_Sprint_40m","sprint_drill","transition","speed_development","40","8","320","32","10","0","0","1","6","3","unlimited","no","none","none","very_high","moderate","very_high","MD2","40m sprint after direction change. Combined acceleration and max speed. High sprint distance per rep."
"EX019","Finishing_4v3_25x20","finishing_drill","attacking","mixed_conditioning","25","20","500","71","7","0","0","6","6","2","unlimited","yes","immediate","goal_based","moderate","high","moderate","MD2","4v3 finishing drill. Moderate sprint and acceleration. High cognitive and tactical load."
"EX020","Finishing_5v4_30x25","finishing_drill","attacking","mixed_conditioning","30","25","750","83","9","0","0","7","5","2","unlimited","yes","immediate","goal_based","moderate","high","moderate","MD2","5v4 attacking overload. Slightly more physical than 4v3. Good MD2 stimulus."
"EX021","PressingGame_5v5_30x25_High","pressing_drill","pressing","high_intensity_conditioning","30","25","750","75","10","5","0","6","4","2","2","no","immediate","pressing_based","moderate","very_high","very_high","MD4","High pressing game. Maximum acceleration demand. Low sprint but very high intensity."
"EX022","PressingGame_6v6_35x30_Mid","pressing_drill","pressing","high_intensity_conditioning","35","30","1050","87","12","6","0","8","3","2","2","no","immediate","pressing_based","moderate","high","high","MD4","Mid-block pressing. Slightly more space than high press. Higher HSR exposure."
"EX023","Activation_Passing_8v0","activation_drill","technical","activation","20","15","300","37","8","0","0","10","2","1","2","no","none","passing_sequence","very_low","very_low","very_low","MD1","Structured passing activation drill. Very low load. Used for MD+1 or MD-1 contexts."
"EX024","Activation_Positional_10v0","activation_drill","technical","activation","30","20","600","60","10","0","0","12","1","1","unlimited","no","none","none","very_low","very_low","very_low","MD1","Positional shadow play without opposition. Technical activation only. No physical stress."
"EX025","Recovery_Game_5v5_40x35","recovery_drill","possession","recovery","40","35","1400","140","10","5","0","10","1","3","unlimited","no","none","possession_based","very_low","very_low","very_low","MD_plus1","Low intensity possession game on large pitch. Post-match regeneration. Very low all metrics."
"EX026","Recovery_Walk_Jog_Circuit","recovery_drill","none","recovery","50","30","1500","100","15","0","0","15","1","0","unlimited","no","none","none","very_low","very_low","very_low","MD_plus1","Walk-jog recovery circuit with ball. Flush fatigue. Minimal cardiovascular demand."
"EX027","Possession_6v6_40x30_Neutral","possession_game","possession","aerobic_conditioning","40","30","1200","86","14","6","2","10","2","2","3","no","delayed","possession_based","moderate","moderate","moderate","MD3","6v6 possession with 2 neutrals. Balanced aerobic stimulus and tactical work."
"EX028","Possession_8v8_50x35_Neutral","possession_game","possession","aerobic_conditioning","50","35","1750","97","18","8","2","12","2","2","3","yes","delayed","possession_based","moderate","moderate","moderate","MD2","8v8 possession with 2 neutrals on large pitch. High aerobic volume with moderate intensity."
"EX029","Transition_5v5_35x30_Counter","transition_game","transition","mixed_conditioning","35","30","1050","105","10","5","0","8","3","2","unlimited","no","immediate","counter_attack","high","high","high","MD3","5v5 with counter-attack trigger. High sprint and acceleration. Tactically specific."
"EX030","Transition_6v6_40x35_Wide","transition_game","transition","mixed_conditioning","40","35","1400","117","12","6","0","8","3","2","unlimited","no","immediate","counter_attack","high","moderate","high","MD3","6v6 wide transition. More pitch coverage equals higher sprint volumes. Good MD3 intensity."
"EX031","Shadow_Play_11v0_Shape","activation_drill","tactical","activation","68","45","3060","278","11","0","0","15","2","1","unlimited","yes","none","tactical","very_low","very_low","very_low","MD1","Full team shadow play. Purely tactical. Negligible physical output."
"EX032","Setpiece_Attack_Corners","finishing_drill","set_pieces","technical","25","20","500","42","12","0","0","10","3","1","unlimited","yes","none","goal_based","very_low","low","low","MD1","Corner kick set piece rehearsal. Low physical output. Technical and tactical focus."
"EX033","SSG_4v4_20x15_Regen","small_sided_game","possession","recovery","20","15","300","50","8","4","0","6","3","3","unlimited","no","delayed","possession_based","very_low","low","very_low","MD_plus1","Regeneration SSG. Small touches and no pressing. Very low all metrics."
"EX034","Hybrid_8v8_55x40_Pressing","large_sided_game","pressing","high_intensity_conditioning","55","40","2200","138","16","8","0","10","2","3","2","yes","immediate","pressing_based","high","high","very_high","MD4","Hybrid pressing on large pitch. Combines sprint and acceleration demands. Elite MD4 drill."
"EX035","Speed_Endurance_60m_x4","sprint_drill","none","speed_endurance","60","5","300","30","10","0","0","1","4","4","unlimited","no","none","none","very_high","moderate","very_high","MD2","Speed endurance runs over 60m. Maximum sprint distance exposure. High metabolic cost."
"EX036","Accel_Change_Direction_15m","sprint_drill","none","acceleration_development","20","10","200","20","10","0","0","1","8","2","unlimited","no","none","none","moderate","very_high","high","MD3","Change of direction acceleration drill. Very high deceleration demand combined with re-acceleration."
"EX037","Possession_4v4_2Neutral_25x20","possession_game","possession","aerobic_conditioning","25","20","500","71","10","4","2","8","3","2","3","no","delayed","possession_based","low","high","moderate","MD3","4v4 with 2 neutrals. Compact possession with high ball-oriented movement."
"EX038","PressingTrap_6v4_35x25","pressing_drill","pressing","high_intensity_conditioning","35","25","875","88","10","6","4","8","3","2","2","no","immediate","pressing_based","moderate","very_high","very_high","MD4","6v4 pressing trap drill with numerical imbalance. Extreme acceleration demand."
